City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
197,Saint-Philippe,RE,-21.3585,55.7679,74.79,74,10,5.44,clear sky
198,Celestun,MX,20.8667,-90.4,75.94,71,78,16.69,broken clouds
199,Itoman,JP,26.1247,127.6694,65.17,96,75,5.75,broken clouds
200,Rocha,UY,-34.4833,-54.3333,66.15,70,8,6.82,clear sky
201,Sumbe,AO,-11.2061,13.8437,77.45,86,100,5.23,overcast clouds
202,Madimba,TZ,-10.4,40.3333,74.95,93,100,2.98,overcast clouds
203,Hay River,CA,60.8156,-115.7999,10.36,85,75,6.91,broken clouds
204,Beloha,MG,-25.1667,45.05,70.14,92,0,8.16,clear sky
205,Fortuna,US,40.5982,-124.1573,65.86,44,0,0.0,clear sky
206,Laguna,US,38.421,-121.4238,67.64,49,0,3.0,clear sky
207,Mandera,KE,3.9366,41.867,81.18,23,73,6.22,broken clouds
208,Saint-Joseph,RE,-21.3667,55.6167,73.78,72,5,6.69,clear sky
209,Broome,US,42.2506,-75.833,21.58,78,100,5.01,mist
210,Beringovskiy,RU,63.05,179.3167,-3.39,95,99,2.51,overcast clouds
211,Mirnyy,RU,62.5353,113.9611,-15.77,75,64,7.0,broken clouds
212,Berestechko,UA,50.3605,25.1107,34.0,91,100,21.16,overcast clouds
213,Plettenberg Bay,ZA,-34.0527,23.3716,63.3,79,35,2.53,scattered clouds
214,Trincomalee,LK,8.5711,81.2335,78.67,83,62,17.29,broken clouds
215,Biloela,AU,-24.4167,150.5,76.57,62,5,10.51,clear sky
216,Birjand,IR,32.8663,59.2211,32.47,37,0,0.0,clear sky
217,Catamarca,AR,-28.4696,-65.7852,80.58,53,53,9.33,broken clouds
218,Nouakchott,MR,18.0858,-15.9785,67.93,67,100,14.09,overcast clouds
219,Saskylakh,RU,71.9167,114.0833,-0.04,90,100,6.08,overcast clouds
220,Lumphat,KH,13.4878,106.9816,68.86,88,62,3.2,broken clouds
221,Lebu,CL,-37.6167,-73.65,64.38,77,2,5.73,clear sky
222,Mehamn,NO,71.0357,27.8492,31.91,63,20,3.44,few clouds
223,Ostrovnoy,RU,68.0531,39.5131,10.56,94,88,9.53,overcast clouds
224,Carnarvon,AU,-24.8667,113.6333,69.87,88,0,5.75,clear sky
225,East London,ZA,-33.0153,27.9116,69.85,78,58,12.15,light rain
226,Masaki,JP,33.7876,132.7112,40.95,74,75,8.05,broken clouds
227,Ongole,IN,15.5,80.05,67.86,92,24,7.81,few clouds
228,Tautira,PF,-17.7333,-149.15,86.02,76,25,17.4,light rain
229,Dudinka,RU,69.4058,86.1778,1.62,92,100,20.11,light snow
230,Najran,SA,17.4924,44.1277,56.05,25,1,3.2,clear sky
231,Santa Isabel Do Para,BR,-1.2986,-48.1606,75.02,96,99,3.49,light rain
232,Narsaq,GL,60.9167,-46.05,19.62,95,100,7.52,snow
233,Kirkwall,GB,58.9848,-2.9587,53.94,87,100,34.52,overcast clouds
234,Puerto Escondido,MX,15.85,-97.0667,83.23,65,20,6.91,few clouds
235,Shingu,JP,33.7333,135.9833,37.92,78,100,5.84,overcast clouds
236,Vila Franca Do Campo,PT,37.7167,-25.4333,58.19,80,40,8.99,scattered clouds
237,Zhangye,CN,38.9342,100.4517,19.51,35,0,2.95,clear sky
238,Ekibastuz,KZ,51.6667,75.3667,7.95,85,100,6.51,overcast clouds
239,Solntsevo,RU,51.4185,36.7499,30.54,96,100,9.78,overcast clouds
240,Samarai,PG,-10.6167,150.6667,81.43,75,91,3.62,moderate rain
241,Manggar,ID,-2.8833,108.2667,78.6,80,100,6.2,overcast clouds
242,Yar-Sale,RU,66.8333,70.8333,-12.64,100,81,7.16,broken clouds
243,Mecca,SA,21.4267,39.8261,64.65,49,1,6.62,clear sky
244,Tiksi,RU,71.6872,128.8694,-5.4,99,99,7.61,overcast clouds
245,Bathsheba,BB,13.2167,-59.5167,79.41,87,40,6.91,scattered clouds
246,Nikolskoye,RU,59.7035,30.7861,24.69,96,100,6.31,overcast clouds
247,La Ronge,CA,55.1001,-105.2842,8.85,72,100,10.36,overcast clouds
248,Tura,IN,25.5198,90.2201,49.68,54,0,3.4,clear sky
249,Klaksvik,FO,62.2266,-6.589,43.72,82,91,22.17,overcast clouds
250,Mormugao,IN,15.4,73.8,74.46,57,9,8.05,clear sky
251,Ialibu,PG,-6.2821,143.9935,56.35,96,100,2.19,overcast clouds
252,Mocuba,MZ,-16.8392,36.9856,71.46,99,11,3.31,few clouds
253,Tinaquillo,VE,9.9186,-68.3047,91.47,51,66,7.18,broken clouds
254,Filotion,GR,37.05,25.5,46.63,71,27,8.99,scattered clouds
255,Shar,KZ,49.5886,81.0453,-10.68,94,9,6.49,clear sky
256,Alakurtti,RU,66.9672,30.3491,10.13,98,100,2.08,overcast clouds
257,Vardo,NO,70.3705,31.1107,30.18,74,75,20.71,broken clouds
